module,time_s,peak_kb,ir_lines,status,seed_version
llvm__expression_lowering__native__core_type_mapping,1.92,405188,3350,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__mod,0.02,10500,186,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__statement,18.79,2575040,5947,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__statement_assignment,12.58,1881728,5231,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__statement_parsing,1.08,248068,2266,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__statement_suspension,1.82,369604,1780,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__statement_type_mapping,1.68,356952,2912,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__splitting,0.49,121004,1360,ok,sfn 0.5.2-alpha.1
llvm__expressions,0.02,10448,186,ok,sfn 0.5.2-alpha.1
llvm__expressions_bindings,0.46,112860,769,ok,sfn 0.5.2-alpha.1
llvm__expressions_helpers,0.85,181536,1435,ok,sfn 0.5.2-alpha.1
llvm__expressions_literals,0.74,167972,1623,ok,sfn 0.5.2-alpha.1
llvm__expressions_operators,1.07,240568,2661,ok,sfn 0.5.2-alpha.1
llvm__expressions_parsing,2.31,510500,4869,ok,sfn 0.5.2-alpha.1
llvm__imports,4.30,710440,3187,ok,sfn 0.5.2-alpha.1
llvm__lifetime,3.79,846972,4252,ok,sfn 0.5.2-alpha.1
llvm__lowering__emission,17.56,2373808,6338,ok,sfn 0.5.2-alpha.1
llvm__lowering__emission_async,3.18,595068,1892,ok,sfn 0.5.2-alpha.1
llvm__lowering__emission_header,0.30,74056,402,ok,sfn 0.5.2-alpha.1
llvm__lowering__entrypoints,7.67,1493892,2380,ok,sfn 0.5.2-alpha.1
llvm__lowering__entrypoints_tests,3.90,769852,1093,ok,sfn 0.5.2-alpha.1
llvm__lowering__entrypoints_tests_writer,6.96,1097824,1147,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions,11.77,1851444,6547,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_condition,2.32,490652,1694,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_dispatch,26.17,3102164,2303,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_for,5.08,1006588,2484,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_for_range,5.65,1084244,3880,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_helpers,10.28,1392940,2943,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_if,7.54,1529228,6979,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_let,16.41,2268868,4924,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_loops,8.08,1498480,6677,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_match,8.68,1714916,6804,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_match_condition,4.22,889748,3811,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_try,4.62,940528,2889,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_core,61.69,7582464,8075,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_helpers,6.47,1365280,5821,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_helpers_mangling,4.14,777884,3774,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_io,1.61,264568,1341,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_native_helpers,1.12,291996,1516,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_phase_functions,19.07,2390016,2704,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_phase_imports,0.69,163836,426,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_phase_render,2.65,459900,1760,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_phase_sanitize,16.71,2110700,2817,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_phase_types,6.91,964520,2871,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_recovery,14.75,2224924,12940,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_text_utils,1.11,241192,1721,ok,sfn 0.5.2-alpha.1
llvm__lowering__module_globals,6.39,893476,2068,ok,sfn 0.5.2-alpha.1
llvm__lowering__phi,1.92,433768,3071,ok,sfn 0.5.2-alpha.1
llvm__mod,0.09,27016,186,ok,sfn 0.5.2-alpha.1
llvm__rendering,2.49,526200,3967,ok,sfn 0.5.2-alpha.1
llvm__rendering_helpers,2.03,443632,3262,ok,sfn 0.5.2-alpha.1
llvm__runtime_helpers,3.48,770368,6908,ok,sfn 0.5.2-alpha.1
llvm__strings,0.81,171596,1343,ok,sfn 0.5.2-alpha.1
llvm__type_context,3.26,762428,3567,ok,sfn 0.5.2-alpha.1
llvm__type_context_queries,2.49,523508,2856,ok,sfn 0.5.2-alpha.1
llvm__type_mapping,2.67,538804,5020,ok,sfn 0.5.2-alpha.1
llvm__types,1.21,296372,309,ok,sfn 0.5.2-alpha.1
llvm__utils,1.77,379132,3523,ok,sfn 0.5.2-alpha.1
main,38.73,4420132,4639,ok,sfn 0.5.2-alpha.1
native_ir,0.35,94280,226,ok,sfn 0.5.2-alpha.1
native_ir_api,2.45,573112,2778,ok,sfn 0.5.2-alpha.1
native_ir_parser,2.93,645048,4006,ok,sfn 0.5.2-alpha.1
native_ir_parser_defs,3.89,858244,5305,ok,sfn 0.5.2-alpha.1
native_ir_parser_instructions,1.43,326392,2346,ok,sfn 0.5.2-alpha.1
native_ir_utils_layout,2.65,606664,6023,ok,sfn 0.5.2-alpha.1
native_ir_utils_parse,4.10,903684,5886,ok,sfn 0.5.2-alpha.1
native_ir_utils_text,0.89,220348,2803,ok,sfn 0.5.2-alpha.1
parser__declarations,16.20,3017916,11729,ok,sfn 0.5.2-alpha.1
parser__expressions,6.40,1399160,7369,ok,sfn 0.5.2-alpha.1
parser__mod,1.76,298248,1052,ok,sfn 0.5.2-alpha.1
parser__statements,7.15,1442424,7251,ok,sfn 0.5.2-alpha.1
parser__token_utils,3.53,762216,7846,ok,sfn 0.5.2-alpha.1
parser__types,0.48,129892,254,ok,sfn 0.5.2-alpha.1
parser__utils,0.37,92732,1122,ok,sfn 0.5.2-alpha.1
string_utils,0.41,92676,760,ok,sfn 0.5.2-alpha.1
token,0.02,9936,202,ok,sfn 0.5.2-alpha.1
toml_parser,0.63,144724,2230,ok,sfn 0.5.2-alpha.1
typecheck,4.80,1134560,7517,ok,sfn 0.5.2-alpha.1
typecheck_types,1.99,504648,3479,ok,sfn 0.5.2-alpha.1
version,0.20,55532,743,ok,sfn 0.5.2-alpha.1
